Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,,,,,,,,,,,,,,
QMBT8V2A,journalArticle,2001,"Kar Yan, Tam; Kai Lung, Hui",A Choice Model for the Selection of Computer Vendors and Its Empirical Estimation,Journal of Management Information Systems,,,,,,2001,,97-124,,4,17,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRHKQV8A,journalArticle,2004,"Zhou, Lina; Burgoon, Judee K; Twitchell, Douglas P; Tiantian, Q I N; Nunamaker Jr, Jay F",A Comparison of Classification Methods for Predicting Deception in Computer-Mediated Communication,Journal of Management Information Systems,,,,,,2004,,139-165,,4,20,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795R7PHH,journalArticle,1990,"Dennis, Alan R; Nunamaker Jr, Jay F; Vogel, Douglas R",A Comparison of Laboratory and Field Research in the Study of Electronic Meeting Systems,Journal of Management Information Systems,,,,,,1990,,107-135,,3,7,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSANXQN,journalArticle,1993,"Kattan, Michael W; Adams, Dennis A; Parks, Michael S",A Comparison of Machine Learning with Human Judgment,Journal of Management Information Systems,,,,,,1993,,37-57,,4,9,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F7M6PBN2,journalArticle,1988,"Kopcso, David; Pipino, Leo; Rybolt, William",A Comparison of the Manipulation of Certainty Factors by Individuals and Expert System Shells,Journal of Management Information Systems,,,,,,1988,,66-81,,1,5,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23G93GUG,journalArticle,1996,"Nidumolu, Sarma R",A Comparison of the Structural Contingency and Risk-Based Perspectives on Coordination in Software-Development Projects,Journal of Management Information Systems,,,,,,1996,,77-113,,2,13,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA5KNRK4,journalArticle,2007,"Tiwana, Amrit; Bush, Ashley A","A Comparison of Transaction Cost, Agency, and Knowledge-Based Predictors of IT Outsourcing Decisions: A U.S.-Japan Cross-Cultural Field Study",Journal of Management Information Systems,,,,,,2007,,259-300,,1,24,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U75HUVF2,journalArticle,2005,"Jasperson, Jon (Sean); Carter, Pamela E.; Zmud, Robert W.",A Comprehensive Conceptualization of Post-Adoptive Behaviors Associated with Information Technology Enabled Work Systems1,MIS Quarterly,,2767783,,http://search.proquest.com.ezproxy.baylor.edu/docview/218130840/abstract,"For the last 25 years, organizations have invested heavily in information technology to support their work processes. In today's organizations, intra and interorganizational work systems are increasingly IT-enabled. Available evidence, however, suggests the functional potential of these installed IT applications is underutilized. Most IT users apply a narrow band of features, operate at low levels of feature use, and rarely initiate extensions of the available features. We argue that organizations need aggressive tactics to encourage users to expand their use of installed IT-enabled work systems. This article strives to accomplish three primary research objectives. First, we offer a comprehensive research model aimed both at coalescing existing research on post-adoptive IT use behaviors and at directing future research on those factors that influence users to (continuously) exploit and extend the functionality built into IT applications. Second, in developing this comprehensive research model, we provide a window (for researchers across a variety of scientific disciplines interested in technology management) into the rich body of research regarding IT adoption, use, and diffusion. Finally, we discuss implications and recommend guidelines for research and practice. [PUBLICATION ABSTRACT]",2005-09,10/23/2015 18:55,525-557,,3,29,,,,,,,,,,English,"Copyright University of Minnesota, MIS Research Center Sep 2005",,,,ProQuest,,,,,,,,,,,,,,,,
NWS89ZRE,journalArticle,1989,"Pick, Roger Alan; Whinston, Andrew B",A Computer Charging Mechanism for Revealing User Preferences within a Large Organization,Journal of Management Information Systems,,,,,,1989,,87-100,,1,6,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWNJ9UWS,journalArticle,2000,"Schultze, Ulrike",A Confessional Account of an Ethnography about Knowledge Work,MIS Quarterly,,0276-7783,10.2307/3250978,http://www.jstor.org/stable/3250978,"Information systems research has traditionally focused on information as an object that serves as input to decision making. Such a perspective attends mainly to the use of information. Increasingly, however, organizations are concerned about the production of information. This paper focuses on the work of producing informational objects, an activity central to knowledge work. Based on data collected during an eight-month ethnographic study of three groups of knowledge workers-computer system administrators, competitive intelligence analysts, and librarians-I explore the informing practices they relied upon. These are identified as ex-pressing, monitoring, and translating. Common to these informing practices is the knowledge workers' endeavor to balance subjectivity and objectivity, where subjectivity is a necessary part of doing value adding work and objectivity promises workers authority and a sense of security. Recognizing that researchers are knowledge workers too, I draw on my own experiences as an ethnographic researcher to identify parallels between my informing practices and those of the knowledge workers I studied. These parallels are intended to challenge the taken-for-granted assumptions underlying scientific practice. I adopt a confessional genre of representation for this purpose.",2000,11/16/2015 1:45,Mar-41,,1,24,,MIS Quarterly,,,,,,,,,,,,,JSTOR,,,,,,,,,,,,,,,,
GTS4WMQU,journalArticle,2001,"Andres, Hayward P; Zmud, Robert W",A Contingency Approach to Software Project Coordination,Journal of Management Information Systems,,,,,,2001,,41-70,,3,18,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX38CDHB,journalArticle,1991,"Arinzn, Bay",A Contingency Model of DSS Development Methodology,Journal of Management Information Systems,,,,,,1991,,149-166,,1,8,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7IRERD6,journalArticle,1996,"Baskerville, Richard L.; Wood-Harper, A. Trevor",A critical perspective on action research as a method for information systems research,Journal of Information Technology,,2683962,,http://search.proquest.com/docview/216213193/abstract/B68EA76BB8F4768PQ/1,"This paper reviews the origins, techniques and roles associated with action research into information systems (IS). Many consider the approach to be the paragon of post-positivist research methods, yet it has a cloudy history among the social sciences. The paper summarizes the rigorous approach to action research and suggests certain domains of ideal use (such as systems development methodology). For those faced with conducting, reviewing or examining action research, the paper discusses various problems, opportunities and strategies.",1996-09,7/19/2016 18:51,235-246,,3,11,,,,,,,,,,English,Copyright (c) 1996 The Association for Information Technology Trust,,,,ProQuest,,,,,,,,,,,,,,,,
5J8366NM,journalArticle,2011,"Bensted, Roland",A critique of Paul Collier's �greed and grievance�thesis of civil war,African Security Review,,,,http://www.tandfonline.com/doi/abs/10.1080/10246029.2011.614065,,2011,6/1/2016 14:35,84�90,,3,20,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,
EH4BGFKF,journalArticle,1984,"Jarke, Matthias; Shalev, Jacob",A Database Architecture for Supporting Business Transactions,Journal of Management Information Systems,,,,,,1984,,63-80,,1,1,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPQFIMTW,journalArticle,2012,"Fang, Xiao; Hu, Paul Jen-Hwa; Chau, Michael; Hu, Han-Fen; Yang, Zhuo; Sheng, Olivia R Liu",A Data-Driven Approach to Measure Web Site Navigability,Journal of Management Information Systems,,,,,,2012,,173-212,,2,29,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRQWDAWH,journalArticle,2009,"Kolfschoten, Gwendolyn L; De Vreede, Gert-Jan",A Design Approach for Collaboration Processes: A Multimethod Design Science Study in Collaboration Engineering,Journal of Management Information Systems,,,,,,2009,,225-256,,1,26,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAE6IPF7,journalArticle,2007,"Peffers, Ken; Tuunanen, Tuure; Rothenberger, Marcus A; Chatterjee, Samir",A Design Science Research Methodology for Information Systems Research,Journal of Management Information Systems,,,,,,2007,,45-77,,3,24,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752TH56W,journalArticle,2002,"Markus, M. Lynne; Majchrzak, Ann; Gasser, Les",A design theory for systems that support emergent knowledge processes,MIS Quarterly,,2767783,,http://search.proquest.com.ezproxy.baylor.edu/docview/218120404/abstract/E7C8746FF7994E59PQ/1,"This paper addresses the design problem of providing IT support for emerging knowledge processes (EKP). EKPs are organizational activity patterns that exhibit 3 characteristics in combination: 1. an emergent process of deliberations with no best structure or sequence, 2. requirements for knowledge that are complex, distributed across people, and evolving dynamically, and 3. an actor set that is unpredictable in terms of job roles or prior knowledge. Examples of EKPs include basic research, new product development, strategic business planning, and organization design. A new IS design theory was created while designing and deploying a system for the EKP of organization design. The system was demonstrated through subsequent empirical analysis to be successful in supporting the process. This new IS design theory is an important theoretical contribution, because it both provides guidance to developers and sets an agenda for academic research.",2002-09,3/21/2016 1:32,179-212,,3,26,,,,,,,,,,English,"Copyright University of Minnesota, MIS Research Center Sep 2002",,,,ProQuest,,,,,,,,,,,,,,,,
DSERTCJK,journalArticle,1985,"Kahn, Beverly K; Garceau, Linda R",A Developmental Model of the Database Administration Function,Journal of Management Information Systems,,,,,,1985,,87-101,,4,1,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T8QCC5JK,journalArticle,2002,"Jiang, James J; Klein, Gary",A Discrepancy Model of Information System Personnel Turnover,Journal of Management Information Systems,,,,,,2002,,249-272,,2,19,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGK6QDWR,journalArticle,2000,"Iivari, Juhani; Hirschheim, Rudy; Klein, Heinz K",A Dynamic Framework for Classifying Information Systems Development Methodologies and Approaches,Journal of Management Information Systems,,,,,,2000,,179-218,,3,17,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89PMF7A9,journalArticle,1985,"Snyder, Charles A; Cox, James F",A Dynamic Systems Development Life-Cycle Approach: A Project Management Information System,Journal of Management Information Systems,,,,,,1985,,61-76,,1,2,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB5JFF6S,journalArticle,1994,"Nonaka, Ikujiro",A Dynamic Theory of Organizational Knowledge Creation,Organization Science,,1047-7039,,http://www.jstor.org/stable/2635068,"This paper proposes a paradigm for managing the dynamic aspects of organizational knowledge creating processes. Its central theme is that organizational knowledge is created through a continuous dialogue between tacit and explicit knowledge. The nature of this dialogue is examined and four patterns of interaction involving tacit and explicit knowledge are identified. It is argued that while new knowledge is developed by individuals, organizations play a critical role in articulating and amplifying that knowledge. A theoretical framework is developed which provides an analytical perspective on the constituent dimensions of knowledge creation. This framework is then applied in two operational models for facilitating the dynamic creation of appropriate organizational knowledge.",1994,11/15/2015 1:00,14-37,,1,5,,Organization Science,,,,,,,,,,,,,JSTOR,,,,,,,,,,,,,,,,
BPDWZ6FS,journalArticle,1997,"Kelly, Gigi G; Bostrom, Robert P",A Facilitator's General Model for Managing Socioemotional Issues in Group Support Systems Meeting Environments,Journal of Management Information Systems,,,,,,1997,,23-44,,3,14,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAXVDKUN,journalArticle,1988,"Curtis, Bill; Krasner, Herb; Iscoe, Neil",A Field Study of the Software Design Process for Large Systems,Commun. ACM,,0001-0782,10.1145/50087.50089,http://doi.acm.org/10.1145/50087.50089,"The problems of designing large software systems were studied through interviewing personnel from 17 large projects. A layered behavioral model is used to analyze how three of these problems�the thin spread of application domain knowledge, fluctuating and conflicting requirements, and communication bottlenecks and breakdowns�affected software productivity and quality through their impact on cognitive, social, and organizational processes.",1988-11,11/19/2015 3:23,1268�1287,,11,31,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,,,,,,,,,,
J7FTH2FD,magazineArticle,1988,"Curtis, Bill; Krasner, Herb; Iscoe, Neil",A field study of the software design process for large systems,Communications of the ACM,,10782,,http://go.galegroup.com/ps/i.do?id=GALE%7CA7126443&v=2.1&u=txshracd2488&it=r&p=&sw=w&asid=9e440e63f942071d8bcfbac7cbc0336a,,1988-11,11/19/2015 3:22,1268+,,11,31,,,,,,,,,,English,,,General Reference Center GOLD,,Gale,,,,,,,,,,,,,,,,
4UZA84F3,webpage,,"Oliveira, Paulo",A Formal Definition of Data Quality Problems,,,,,http://ssm-vm030.mit.edu/ICIQ/Documents/IQ%20Conference%202005/Papers/AFormalDefinitionofDQProblems.pdf,,,4/20/2016 3:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCQKT3BQ,journalArticle,1956,"French, John R. P. Jr.",A formal theory of social power,Psychological Review,,0033-295X,10.1037/h0046123,http://ezproxy.baylor.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=1957-04473-001&site=ehost-live&scope=site,"""This theory illustrates a way by which many complex phenomena about groups can be deduced from a few simple postulates about interpersonal relations. By the application of digraph theory we are able to treat in detail the patterns of relations whose importance has long been noted by the field theorists."" Three major postulates are presented as well as a variety of theorems dealing with the effects of the power structure of the group, the effects of communication patterns, the effects of patterns of opinion, and leadership. 32 references. (PsycINFO Database Record (c) 2013 APA, all rights reserved)",1956-05,12/8/2015 4:57,181-194,,3,63,,Psychological Review,,,,,,,,,,,,1957-04473-001,EBSCOhost,,,,,,,,,,,,,,,,
SKAI6K4W,journalArticle,1994,"Adam, Nabil R; Gangopadhyay, Aryya; Clifford, James",A Form-Based Approach to Natural Language Query Processing,Journal of Management Information Systems,,,,,,1994,,109-135,,2,11,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKXTIUM2,journalArticle,1996,"Lai-Huat, Lim; Bensabat, Izak",A Framework for Addressing Group Judgment Biases with Group Technology,Journal of Management Information Systems,,,,,,1996,,24-Jul,,3,13,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4EAHSWA9,journalArticle,2004,"Kumar, Ram L",A Framework for Assessing the Business Value of Information Technology Infrastructures,Journal of Management Information Systems,,,,,,2004,,Nov-32,,2,21,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I8DRFKDX,journalArticle,2000,"Sircar, Sumit; Turnbow, Joe L; Bordoloi, Bijoy",A Framework for Assessing the Relationship Between Information Technology Investments and Firm Performance,Journal of Management Information Systems,,,,,,2000,,69-97,,4,16,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D83EVSBW,journalArticle,2015,"Templier, Mathieu; Par�, Guy",A Framework for Guiding and Evaluating Literature Reviews,Communications of the Association for Information Systems,,1529-3181,,http://aisel.aisnet.org/cais/vol37/iss1/6,,8/1/2015,,,,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETVKSBI5,journalArticle,1992,"Lee, Sunro; Leifer, Richard P",A Framework for Linking the Structure of Information Systems with Organizational Requirements for Information Sharing,Journal of Management Information Systems,,,,,,1992,,27-44,,4,8,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5CIECUX,journalArticle,1987,"Murray, Thomas J; Tanniru, Mohan R",A Framework for Selecting between Knowledge-based and Traditional Systems Design,Journal of Management Information Systems,,,,,,1987,,42-58,,1,4,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSJBVBZT,journalArticle,1987,"Hogue, Jack T",A Framework for the Examination of Management Involvement in Decision Support Systems,Journal of Management Information Systems,,,,,,1987,,96-110,,1,4,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6V4D6XU3,journalArticle,2005,"Zhang, Zhe; Lee, Matthew KO; Huang, Pei; Zhang, Liang; Huang, Xiaoyuan",A framework of ERP systems implementation success in China: An empirical study,International Journal of Production Economics,,,,http://www.sciencedirect.com/science/article/pii/S0925527304003251,,2005,7/1/2016 5:05,56�80,,1,98,,,A framework of ERP systems implementation success in China,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,
XJGNBUAH,journalArticle,1996,"Bordoloi, Bijoy; Mykytyn, Kathleen; Mykytyn Jr, Peter P",A Framework to Limit Systems Developers' Legal Liabilities,Journal of Management Information Systems,,,,,,1996,,161-185,,4,12,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49X4EMV3,journalArticle,1989,"Liu Sheng, Olivia R; Motiwalla, Luvai F; Nunamaker Jr, Jay F; Vogel, Douglas R",A Framework to Support Managerial Activities Using Office Information Systems,Journal of Management Information Systems,,,,,,1989,,45-63,,3,6,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5KHPNQW5,journalArticle,2007,"Lin, Hua-Yang; Hsu, Ping-Yu; Sheen, Gwo-Ji",A fuzzy-based decision-making procedure for data warehouse system selection,Expert Systems with Applications,,0957-4174,10.1016/j.eswa.2006.01.031,http://www.sciencedirect.com/science/article/pii/S0957417406000509,"The increase in the number of companies seeking data warehousing solutions, in order to gain significant business advantages, has created the need for a decision-aid approach in choosing appropriate data warehouse (DW) systems. Owing to the vague concepts frequently represented in decision environments, we have proposed a fuzzy multi-criteria decision-making procedure, to facilitate data warehouse system selection, with consideration given to both technical and managerial criteria. The procedure can systematically construct the objectives of DW systems selection to support the business goals and requirements of an organization, and identify the appropriate attributes or criteria for evaluation. In the fuzzy-based method, the weight of each criterion and the rating of each alternative are described using linguistic terms, which can also be expressed as triangular fuzzy numbers. The fuzzy algorithm aggregated the decision-makers� preference rating for criteria, and the suitability of data warehouse alternatives versus the selection criteria, to calculate fuzzy appropriateness indices, through which, the most suitable data warehouse system was determined. A case study of a Bar Code Implementation Project for Agricultural Products in Taiwan was conducted to illustrate this method�s effectiveness.",2007-04,4/14/2016 0:35,939-953,,3,32,,Expert Systems with Applications,,,,,,,,,,,,,ScienceDirect,,,,,,,,,,,,,,,,
IP4MZVMN,journalArticle,2005,"Galbreth, Michael R; March, Salvatore T; Scudder, Gary D; Shor, Mikhael",A Game-Theoretic Model of E-Marketplace Participation Growth,Journal of Management Information Systems,,,,,,2005,,295-319,,1,22,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7NVBHFAR,journalArticle,1972,"Cohen, Michael D.; March, James G.; Olsen, Johan P.",A garbage can model of organizational choice,Administrative science quarterly,,,,http://www.jstor.org/stable/2392088,,1972,5/1/2016 3:20,1�25,,,,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,
9VZ2UHDU,journalArticle,2011,"Pick, James B; Rasool, Azari","A Global Model of Technological Utilization Based on Governmental, Business-Investment, Social and Economic Factors",Journal of Management Information Systems,,,,,,2011,,49-83,,1,28,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSJCSUBG,journalArticle,2012,"Hirschheim, R; Klein, H",A Glorious and Not-So-Short History of the Information Systems Field,Journal of the Association for Information Systems,,,,,"In this paper, the more than 40-year history of the information systems discipline is discussed by dividing history into four somewhat overlapping eras. For each era, important events that occurred are highlighted. The events are categorized as �management/governance of the IS function�, �technology�, �research themes�, �research methodology�, �education�, and �infrastructure� (organizations, conferences, journals, etc.). The paper then speculates on what the value would be if the IS community were to adopt a shared history. The paper contends that such a shared history would be effective in helping to bridge the communication gaps that exist between the different sub-communities that make up the discipline.",2012-04,,188-235,,4,13,,JAIS,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,
IXBA8D2M,journalArticle,1994,"Sheetz, Steven D; Tegarden, David P; Kozar, Kenneth A; Zigurs, Ilze",A Group Support Systems Approach to Cognitive Mapping,Journal of Management Information Systems,,,,,,1994,,31-57,,1,11,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WICX9VV2,journalArticle,1996,"Shibata, Yoshitaka; Fukuda, Manabu; Katsumoto, Michiaki",A Hypermedia-Based Design Image Database System Using a Perceptional Link Method,Journal of Management Information Systems,,,,,,1996,,25-44,,3,13,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K928CB2C,journalArticle,2006,"Kulkarni, Uday R; Ravindran, Sury; Freeze, Ronald",A Knowledge Management Success Model: Theoretical Development and Empirical Validation,Journal of Management Information Systems,,,,,,2006,,309-347,,3,23,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2V2NQ44W,journalArticle,1997,"Hale, Joanne",A Layered Communication Architecture for the Support of Crisis Response,Journal of Management Information Systems,,,,,,1997,,235-255,,1,14,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTK9VT7Z,journalArticle,2009,"Cha, Hoon S; Pingry, David E; Thatcher, Matt E",A Learning Model of Information Technology Outsourcing: Normative Implications,Journal of Management Information Systems,,,,,,2009,,147-176,,2,26,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9WCQQ2V2,journalArticle,1985,"Klein, Gary; Konsynski, Benn; Beck, Philip O",A Linear Representation for Model Management in a DDS,Journal of Management Information Systems,,,,,,1985,,40-54,,2,2,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAZUXT3P,journalArticle,2003,"Kang, David; Santhanam, Radhika",A Longitudinal Field Study of Training Practices in a Collaborative Application Environment,Journal of Management Information Systems,,,,,,2003,,257-281,,3,20,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S37FVCB9,journalArticle,2013,Heshan Sun,A Longitudinal Study of Herd Behavior in the Adoption and Continued Use of Technology,MIS Quarterly,,2767783,,http://ezproxy.baylor.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=cph&AN=91906217&site=ehost-live&scope=site,"Herd literature suggests that people tend to discount their own beliefs and imitate others when making adoption decisions and that the resulting adoption decisions are fragile and can be easily reversed during the post-adoptive stage. This helps explain why the adoption of a number of new technologies--from Amazon's Kindle, to Apple's iPod, iPhone, and iPad, to various types of Web 2. 0 technologies--appears to have adoption patterns similar to those of new fashion trends (i. e., an initial en masse acquisition followed by subsequent abandonment). It is important to understand these phenomena because they are strongly related to the staying power of technology. From a herd behavior perspective, this study proposes two new concepts, namely discounting one's own information and imitating others, to describe herd behavior in technology adoption. A research model is developed to describe the conditions under which herd behavior in technology adoption occurs, how it impacts technology adoption decision making, and how it influences post-adoptive system use. A longitudinal study is conducted to examine the research model. Findings from this research suggest that the discounting of one's own beliefs and the imitating of others when adopting a new technology are provoked primarily by the observation of prior adoptions and perceptions of uncertainty regarding the adoption of new technology. Herd behavior has a significant influence on user technology adoption; however, it does not necessarily lead to the collapse of the user base, as predicted in the herd literature. Instead, imitation can help reduce post-adoption regret and thus serve as a legitimate strategy for choosing a good enough technology, which may or may not be the best option to enhance job performance. People tend to adjust their beliefs when herding and also to revive their discounted initial beliefs to modify their beliefs about the technology at the post-adoptive stage. Findings from this study have significant research and practical implications.",2013-12,2/21/2016 22:14,1013-A13,,4,37,,MIS Quarterly,,,,,,,,,,,,,EBSCOhost,,,,,,,,,,,,,,,,
KEPAVX4P,journalArticle,1988,"Carlsson, Sven A",A Longitudinal Study of Spreadsheet Program Use,Journal of Management Information Systems,,,,,,1988,,82-100,,1,5,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
